"w_v_nm","solar_E_wm2um","a_ozone","a_umg","a_water","cloud_a_i","cloud_b_i","cloud_c_i","cloud_d_i","cloud_e_i","cloud_f_i"
350,0.961,0.009,0,0,0.03308,1.246,-3e-07,2.36e-07,0.839,0.001946
351,0.953,0.012,0,0,0.03308,1.246,-3e-07,2.36e-07,0.839,0.001946
352,0.949,0.009,0,0,0.03308,1.246,-3e-07,2.36e-07,0.839,0.001946
353,1.056,0.006,0,0,0.03308,1.246,-3e-07,2.36e-07,0.839,0.001946
354,1.122,0.004,0,0,0.03308,1.246,-3e-07,2.36e-07,0.839,0.001946
355,1.078,0.002,0,0,0.03308,1.246,-3e-07,2.36e-07,0.839,0.001946
356,1.047,0.002,0,0,0.03308,1.246,-3e-07,2.36e-07,0.839,0.001946
357,0.879,0.001,0,0,0.03308,1.246,-3e-07,2.36e-07,0.839,0.001946
358,0.752,0.001,0,0,0.03308,1.246,-3e-07,2.36e-07,0.839,0.001946
359,0.919,0.001,0,0,0.03308,1.246,-3e-07,2.36e-07,0.839,0.001946
360,1.062,0,0,0,0.03308,1.246,-3e-07,2.36e-07,0.839,0.001946
361,1.054,0,0,0,0.03308,1.246,-3e-07,2.36e-07,0.839,0.001946
362,1.047,0,0,0,0.03308,1.246,-3e-07,2.36e-07,0.839,0.001946
363,1.024,0,0,0,0.03308,1.246,-3e-07,2.36e-07,0.839,0.001946
364,0.998,0,0,0,0.03308,1.246,-3e-07,2.36e-07,0.839,0.001946
365,1.108,0,0,0,0.03308,1.246,-3e-07,2.36e-07,0.839,0.001946
366,1.259,0,0,0,0.03308,1.246,-3e-07,2.36e-07,0.839,0.001946
367,1.221,0,0,0,0.03308,1.246,-3e-07,2.36e-07,0.839,0.001946
368,1.156,0,0,0,0.03308,1.246,-3e-07,2.36e-07,0.839,0.001946
369,1.184,0,0,0,0.03308,1.246,-3e-07,2.36e-07,0.839,0.001946
370,1.197,0,0,0,0.02801,1.293,1e-06,0,0.836,0.002153
371,1.162,0,0,0,0.02801,1.293,1e-06,0,0.836,0.002153
372,1.144,0,0,0,0.02801,1.293,1e-06,0,0.836,0.002153
373,1.027,0,0,0,0.02801,1.293,1e-06,0,0.836,0.002153
374,0.953,0,0,0,0.02801,1.293,1e-06,0,0.836,0.002153
375,1.004,0,0,0,0.02801,1.293,1e-06,0,0.836,0.002153
376,1.004,0,0,0,0.02801,1.293,1e-06,0,0.836,0.002153
377,1.317,0,0,0,0.02801,1.293,1e-06,0,0.836,0.002153
378,1.317,0,0,0,0.02801,1.293,1e-06,0,0.836,0.002153
379,1.141,0,0,0,0.02801,1.293,1e-06,0,0.836,0.002153
380,1.139,0,0,0,0.02801,1.293,1e-06,0,0.836,0.002153
381,1.115,0,0,0,0.02801,1.293,1e-06,0,0.836,0.002153
382,1.083,0,0,0,0.02801,1.293,1e-06,0,0.836,0.002153
383,0.821,0,0,0,0.02801,1.293,1e-06,0,0.836,0.002153
384,0.858,0,0,0,0.02801,1.293,1e-06,0,0.836,0.002153
385,1.029,0,0,0,0.02801,1.293,1e-06,0,0.836,0.002153
386,1.026,0,0,0,0.02801,1.293,1e-06,0,0.836,0.002153
387,0.995,0,0,0,0.02801,1.293,1e-06,0,0.836,0.002153
388,1.01,0,0,0,0.02801,1.293,1e-06,0,0.836,0.002153
389,1.145,0,0,0,0.02801,1.293,1e-06,0,0.836,0.002153
390,1.152,0,0,0,0.02801,1.293,1e-06,0,0.836,0.002153
391,1.263,0,0,0,0.02801,1.293,1e-06,0,0.836,0.002153
392,1.115,0,0,0,0.02801,1.293,1e-06,0,0.836,0.002153
393,0.733,0,0,0,0.02801,1.293,1e-06,0,0.836,0.002153
394,0.852,0,0,0,0.02801,1.293,1e-06,0,0.836,0.002153
395,1.25,0,0,0,0.02801,1.293,1e-06,0,0.836,0.002153
396,1.071,0,0,0,0.02801,1.293,1e-06,0,0.836,0.002153
397,0.853,0,0,0,0.02801,1.293,1e-06,0,0.836,0.002153
398,1.25,0,0,0,0.02801,1.293,1e-06,0,0.836,0.002153
399,1.515,0,0,0,0.02801,1.293,1e-06,0,0.836,0.002153
400,1.674,0,0,0,0.02801,1.293,1e-06,0,0.836,0.002153
401,1.721,0,0,0,0.02801,1.293,1e-06,0,0.836,0.002153
402,1.799,0,0,0,0.02801,1.293,1e-06,0,0.836,0.002153
403,1.719,0,0,0,0.02801,1.293,1e-06,0,0.836,0.002153
404,1.638,0,0,0,0.02801,1.293,1e-06,0,0.836,0.002153
405,1.651,0,0,0,0.02801,1.293,1e-06,0,0.836,0.002153
406,1.663,0,0,0,0.02801,1.293,1e-06,0,0.836,0.002153
407,1.681,0,0,0,0.02801,1.293,1e-06,0,0.836,0.002153
408,1.698,0,0,0,0.02801,1.293,1e-06,0,0.836,0.002153
409,1.65,0,0,0,0.02801,1.293,1e-06,0,0.836,0.002153
410,1.621,0,0,0,0.02668,1.307,0,0,0.84,0.001881
411,1.74,0,0,0,0.02668,1.307,0,0,0.84,0.001881
412,1.812,0,0,0,0.02668,1.307,0,0,0.84,0.001881
413,1.755,0,0,0,0.02668,1.307,0,0,0.84,0.001881
414,1.74,0,0,0,0.02668,1.307,0,0,0.84,0.001881
415,1.781,0,0,0,0.02668,1.307,0,0,0.84,0.001881
416,1.791,0,0,0,0.02668,1.307,0,0,0.84,0.001881
417,1.715,0,0,0,0.02668,1.307,0,0,0.84,0.001881
418,1.701,0,0,0,0.02668,1.307,0,0,0.84,0.001881
419,1.663,0,0,0,0.02668,1.307,0,0,0.84,0.001881
420,1.124,0,0,0,0.02668,1.307,0,0,0.84,0.001881
421,1.823,0,0,0,0.02668,1.307,0,0,0.84,0.001881
422,1.76,0,0,0,0.02668,1.307,0,0,0.84,0.001881
423,1.657,0,0,0,0.02668,1.307,0,0,0.84,0.001881
424,1.693,0,0,0,0.02668,1.307,0,0,0.84,0.001881
425,1.748,0,0,0,0.02668,1.307,0,0,0.84,0.001881
426,1.691,0,0,0,0.02668,1.307,0,0,0.84,0.001881
427,1.673,0,0,0,0.02668,1.307,0,0,0.84,0.001881
428,1.656,0.001,0,0,0.02668,1.307,0,0,0.84,0.001881
429,1.65,0.001,0,0,0.02668,1.307,0,0,0.84,0.001881
430,1.407,0.001,0,0,0.02668,1.307,0,0,0.84,0.001881
431,1.351,0.001,0,0,0.02668,1.307,0,0,0.84,0.001881
432,1.727,0.001,0,0,0.02668,1.307,0,0,0.84,0.001881
433,1.805,0.002,0,0,0.02668,1.307,0,0,0.84,0.001881
434,1.69,0.002,0,0,0.02668,1.307,0,0,0.84,0.001881
435,1.767,0.002,0,0,0.02668,1.307,0,0,0.84,0.001881
436,1.835,0.002,0,0,0.02668,1.307,0,0,0.84,0.001881
437,1.845,0.002,0,0,0.02668,1.307,0,0,0.84,0.001881
438,1.792,0.002,0,0,0.02668,1.307,0,0,0.84,0.001881
439,1.673,0.003,0,0,0.02668,1.307,0,0,0.84,0.001881
440,1.711,0.003,0,0,0.02668,1.307,0,0,0.84,0.001881
441,1.796,0.003,0,0,0.02668,1.307,0,0,0.84,0.001881
442,1.892,0.003,0,0,0.02668,1.307,0,0,0.84,0.001881
443,1.957,0.003,0,0,0.02668,1.307,0,0,0.84,0.001881
444,1.961,0.003,0,0,0.02668,1.307,0,0,0.84,0.001881
445,1.963,0.003,0,0,0.02668,1.307,0,0,0.84,0.001881
446,1.856,0.003,0,0,0.02668,1.307,0,0,0.84,0.001881
447,1.874,0.003,0,0,0.02668,1.307,0,0,0.84,0.001881
448,2.036,0.003,0,0,0.02668,1.307,0,0,0.84,0.001881
449,2.054,0.003,0,0,0.02668,1.307,0,0,0.84,0.001881
450,2.135,0.003,0,0,0.02698,1.315,1e-06,0,0.82,0.003004
451,2.111,0.003,0,0,0.02698,1.315,1e-06,0,0.82,0.003004
452,2.004,0.004,0,0,0.02698,1.315,1e-06,0,0.82,0.003004
453,2.007,0.004,0,0,0.02698,1.315,1e-06,0,0.82,0.003004
454,2.024,0.005,0,0,0.02698,1.315,1e-06,0,0.82,0.003004
455,2.03,0.005,0,0,0.02698,1.315,1e-06,0,0.82,0.003004
456,2.066,0.006,0,0,0.02698,1.315,1e-06,0,0.82,0.003004
457,2.06,0.007,0,0,0.02698,1.315,1e-06,0,0.82,0.003004
458,2.028,0.007,0,0,0.02698,1.315,1e-06,0,0.82,0.003004
459,2.028,0.008,0,0,0.02698,1.315,1e-06,0,0.82,0.003004
460,2.029,0.008,0,0,0.02698,1.315,1e-06,0,0.82,0.003004
461,2.039,0.009,0,0,0.02698,1.315,1e-06,0,0.82,0.003004
462,2.101,0.009,0,0,0.02698,1.315,1e-06,0,0.82,0.003004
463,2.086,0.009,0,0,0.02698,1.315,1e-06,0,0.82,0.003004
464,1.992,0.009,0,0,0.02698,1.315,1e-06,0,0.82,0.003004
465,1.987,0.008,0,0,0.02698,1.315,1e-06,0,0.82,0.003004
466,1.959,0.008,0,0,0.02698,1.315,1e-06,0,0.82,0.003004
467,1.966,0.007,0,0,0.02698,1.315,1e-06,0,0.82,0.003004
468,2.01,0.001,0,0,0.02698,1.315,1e-06,0,0.82,0.003004
469,2.001,0.007,0,0,0.02698,1.315,1e-06,0,0.82,0.003004
470,1.946,0.007,0,0,0.02698,1.315,1e-06,0,0.82,0.003004
471,1.957,0.008,0,0,0.02698,1.315,1e-06,0,0.82,0.003004
472,2.022,0.009,0,0,0.02698,1.315,1e-06,0,0.82,0.003004
473,2.025,0.01,0,0,0.02698,1.315,1e-06,0,0.82,0.003004
474,2.038,0.011,0,0,0.02698,1.315,1e-06,0,0.82,0.003004
475,2.029,0.012,0,0,0.02698,1.315,1e-06,0,0.82,0.003004
476,1.982,0.013,0,0,0.02698,1.315,1e-06,0,0.82,0.003004
477,1.996,0.014,0,0,0.02698,1.315,1e-06,0,0.82,0.003004
478,2.063,0.015,0,0,0.02698,1.315,1e-06,0,0.82,0.003004
479,2.064,0.017,0,0,0.02698,1.315,1e-06,0,0.82,0.003004
480,2.067,0.018,0,0,0.02698,1.315,1e-06,0,0.82,0.003004
481,2.065,0.019,0,0,0.02698,1.315,1e-06,0,0.82,0.003004
482,2.054,0.02,0,0,0.02698,1.315,1e-06,0,0.82,0.003004
483,2.047,0.02,0,0,0.02698,1.315,1e-06,0,0.82,0.003004
484,2.011,0.021,0,0,0.02698,1.315,1e-06,0,0.82,0.003004
485,1.95,0.02,0,0,0.02698,1.315,1e-06,0,0.82,0.003004
486,1.687,0.02,0,0,0.02698,1.315,1e-06,0,0.82,0.003004
487,1.723,0.019,0,0,0.02698,1.315,1e-06,0,0.82,0.003004
488,1.874,0.019,0,0,0.02698,1.315,1e-06,0,0.82,0.003004
489,1.949,0.018,0,0,0.02698,1.315,1e-06,0,0.82,0.003004
490,1.938,0.018,0,0,0.02672,1.32,0,0,0.828,0.002467
491,1.9,0.019,0,0,0.02672,1.32,0,0,0.828,0.002467
492,1.909,0.019,0,0,0.02672,1.32,0,0,0.828,0.002467
493,1.941,0.02,0,0,0.02672,1.32,0,0,0.828,0.002467
494,1.954,0.021,0,0,0.02672,1.32,0,0,0.828,0.002467
495,2.003,0.022,0,0,0.02672,1.32,0,0,0.828,0.002467
496,2.003,0.023,0,0,0.02672,1.32,0,0,0.828,0.002467
497,2.003,0.024,0,0,0.02672,1.32,0,0,0.828,0.002467
498,1.973,0.025,0,0,0.02672,1.32,0,0,0.828,0.002467
499,1.933,0.026,0,0,0.02672,1.32,0,0,0.828,0.002467
500,1.871,0.028,0,0,0.02672,1.32,0,0,0.828,0.002467
501,1.832,0.03,0,0,0.02672,1.32,0,0,0.828,0.002467
502,1.89,0.032,0,0,0.02672,1.32,0,0,0.828,0.002467
503,1.928,0.034,0,0,0.02672,1.32,0,0,0.828,0.002467
504,1.925,0.036,0,0,0.02672,1.32,0,0,0.828,0.002467
505,1.924,0.038,0,0,0.02672,1.32,0,0,0.828,0.002467
506,1.956,0.039,0,0,0.02672,1.32,0,0,0.828,0.002467
507,1.977,0.041,0,0,0.02672,1.32,0,0,0.828,0.002467
508,1.953,0.041,0,0,0.02672,1.32,0,0,0.828,0.002467
509,1.941,0.041,0,0,0.02672,1.32,0,0,0.828,0.002467
510,1.939,0.04,0,0,0.02672,1.32,0,0,0.828,0.002467
511,1.939,0.039,0,0,0.02672,1.32,0,0,0.828,0.002467
512,1.913,0.038,0,0,0.02672,1.32,0,0,0.828,0.002467
513,1.9,0.037,0,0,0.02672,1.32,0,0,0.828,0.002467
514,1.872,0.037,0,0,0.02672,1.32,0,0,0.828,0.002467
515,1.858,0.038,0,0,0.02672,1.32,0,0,0.828,0.002467
516,1.744,0.039,0,0,0.02672,1.32,0,0,0.828,0.002467
517,1.688,0.041,0,0,0.02672,1.32,0,0,0.828,0.002467
518,1.725,0.042,0,0,0.02672,1.32,0,0,0.828,0.002467
519,1.743,0.044,0,0,0.02672,1.32,0,0,0.828,0.002467
520,1.828,0.045,0,0,0.02672,1.32,0,0,0.828,0.002467
521,1.862,0.047,0,0,0.02672,1.32,0,0,0.828,0.002467
522,1.891,0.049,0,0,0.02672,1.32,0,0,0.828,0.002467
523,1.908,0.051,0,0,0.02672,1.32,0,0,0.828,0.002467
524,1.922,0.052,0,0,0.02672,1.32,0,0,0.828,0.002467
525,1.873,0.054,0,0,0.02672,1.32,0,0,0.828,0.002467
526,1.843,0.056,0,0,0.02672,1.32,0,0,0.828,0.002467
527,1.834,0.058,0,0,0.02672,1.32,0,0,0.828,0.002467
528,1.83,0.059,0,0,0.02672,1.32,0,0,0.828,0.002467
529,1.921,0.061,0,0,0.02672,1.32,0,0,0.828,0.002467
530,1.959,0.063,0,0,0.02838,1.3,0,0,0.825,0.002776
531,1.952,0.064,0,0,0.02838,1.3,0,0,0.825,0.002776
532,1.948,0.066,0,0,0.02838,1.3,0,0,0.825,0.002776
533,1.872,0.068,0,0,0.02838,1.3,0,0,0.825,0.002776
534,1.859,0.069,0,0,0.02838,1.3,0,0,0.825,0.002776
535,1.951,0.07,0,0,0.02838,1.3,0,0,0.825,0.002776
536,1.941,0.071,0,0,0.02838,1.3,0,0,0.825,0.002776
537,1.861,0.072,0,0,0.02838,1.3,0,0,0.825,0.002776
538,1.858,0.072,0,0,0.02838,1.3,0,0,0.825,0.002776
